plyr.lbl,player,no.,name,pass_yards,comp,att,pct,avg,pass_td,int,long,rating,week,team,season,pass_yards_cum,comp_cum,att_cum,pass_td_cum,int_cum,game,pass_td_rate_cum,comp_cum_rate,int_rate_cum,pass_yards_att_cum,pass_avg_cum,pass_yards_cum_game,pass_td_int_cum,qb.part1,qb.part2,qb.part3,qb.part4,qb_rate_cum,no..rush,name.rush,rush_yards,carries,avg.rush,long.rush,rush_td,week.rush,rush_yards_cum,carries_cum,rush_td_cum,rush_td_rate_cum,rush_avg_cum,rush_yards_cum_game,rush_yards_car
AC #6,#6 Amanda Congialdi,#6,Amanda Congialdi,134,6,7,85.7,22.3,3,0,45,158.3,6,Divas,2018,594,44,92,10,3,4,0.10869565217391304,48,0.03260869565217391,6.456521739130435,13.5,148.5,3.3333333333333335,0.8913043478260871,0.8641304347826086,2.173913043478261,1.5597826086956523,91.5,#6,Amanda Congialdi,0,1,0,NA,0,6,125,24,2,0.08333333333333333,5.2,31.2,0
AC #6,#6 Amanda Congialdi,#6,Amanda Congialdi,166,12,27,44.4,13.8,3,1,40,86.3,7,Divas,2018,760,56,119,13,4,5,0.1092436974789916,47,0.03361344537815126,6.38655462184874,13.6,152,3.25,0.8529411764705881,0.846638655462185,2.184873949579832,1.5346638655462184,90.3,#6,Amanda Congialdi,97,17,5.7,17,1,7,222,41,3,0.07317073170731707,5.4,44.4,5.7
AC #6,#6 Amanda Congialdi,#6,Amanda Congialdi,148,13,25,52,11.4,1,2,52,50.1,8,Divas,2018,908,69,144,14,6,6,0.09722222222222222,48,0.041666666666666664,6.305555555555555,13.2,151.3,2.3333333333333335,0.8958333333333336,0.8263888888888888,1.9444444444444446,1.3333333333333335,83.3,#6,Amanda Congialdi,69,12,5.8,30,0,8,291,53,3,0.05660377358490566,5.5,48.5,5.8
AC #6,#6 Amanda Congialdi,#6,Amanda Congialdi,210,15,22,68.2,14,3,0,42,138.3,10,Divas,2018,1118,84,166,17,6,7,0.10240963855421686,51,0.03614457831325301,6.734939759036145,13.3,159.7,2.8333333333333335,1.0301204819277108,0.9337349397590362,2.0481927710843375,1.4713855421686748,91.4,#6,Amanda Congialdi,16,2,8,13,0,10,307,55,3,0.05454545454545454,5.6,43.9,8
AH #7,#7 Amanda Herbst,#7,Amanda Herbst,78,4,6,66.7,19.5,1,1,28,109.7,1,Comets,2018,78,4,6,1,1,1,0.16666666666666666,67,0.16666666666666666,13,19.5,78,1,1.833333333333333,2.375,2.375,0,109.7,#7,Amanda Herbst,4,2,2,4,0,1,4,2,0,0,2,4,2
AH #7,#7 Amanda Herbst,#7,Amanda Herbst,21,1,3,33.3,21,0,1,21,19.4,2,Comets,2018,99,5,9,1,2,2,0.1111111111111111,56,0.2222222222222222,11,19.8,49.5,0.5,1.277777777777778,2,2.2222222222222223,0,91.7,#7,Amanda Herbst,18,3,6,14,0,2,22,5,0,0,4.4,11,6
AH #7,#7 Amanda Herbst,#7,Amanda Herbst,156,8,13,61.5,19.5,1,0,68,129,3,Comets,2018,255,13,22,2,2,3,0.09090909090909091,59,0.09090909090909091,11.590909090909092,19.6,85,1,1.4545454545454548,2.147727272727273,1.8181818181818183,0.10227272727272707,92,#7,Amanda Herbst,0,3,0,1,1,3,22,8,1,0.125,2.8,7.3,0
AH #7,#7 Amanda Herbst,#7,Amanda Herbst,35,4,19,21.1,8.8,0,0,13,39.6,6,Comets,2018,290,17,41,2,2,4,0.04878048780487805,41,0.04878048780487805,7.073170731707317,17.1,72.5,1,0.573170731707317,1.0182926829268293,0.975609756097561,1.1554878048780488,62,#7,Amanda Herbst,0,1,0,NA,0,6,22,9,1,0.1111111111111111,2.4,5.5,0
AH #7,#7 Amanda Herbst,#7,Amanda Herbst,75,7,9,77.8,10.7,5,0,25,141,7,Comets,2018,365,24,50,7,2,5,0.14,48,0.04,7.3,15.2,73,3.5000000000000004,0.9,1.075,2.375,1.375,95.4,#7,Amanda Herbst,2,1,2,2,0,7,24,10,1,0.1,2.4,4.8,2
AH #7,#7 Amanda Herbst,#7,Amanda Herbst,7,1,5,20,7,0,1,7,0,9,Comets,2018,372,25,55,7,3,6,0.12727272727272726,45,0.05454545454545454,6.763636363636364,14.9,62,2.333333333333333,0.7727272727272727,0.9409090909090909,2.375,1.0113636363636365,85,#7,Amanda Herbst,0,3,0,2,0,9,24,13,1,0.07692307692307693,1.8,4,0
