plyr.lbl,player,no..rush,name.rush,rush_yards,carries,avg.rush,long.rush,rush_td,week.rush,team,season,rush_yards_cum,carries_cum,rush_td_cum,game,rush_td_rate_cum,rush_avg_cum,rush_yards_cum_game,rush_yards_car,no..rec,name.rec,rec_yards,rec,long.rec,avg.rec,rec_td,week.rec,rec_yards_cum,rec_cum,rec_td_cum,rec_td_rate_cum,rec_avg_cum,rec_yards_cum_game,rec_yards_rec
RW NA,NA Raquel Williams,NA,Raquel Williams,28,4,7,20,0,5,Wildcats,2018,124,15,1,4,0.06666666666666667,8.3,31,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RW NA,NA Raquel Williams,NA,Raquel Williams,40,9,4.4,21,0,7,Wildcats,2018,164,24,1,5,0.041666666666666664,6.8,32.8,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RW NA,NA Raquel Williams,NA,Raquel Williams,50,6,8.3,35,2,9,Wildcats,2018,214,30,3,6,0.1,7.1,35.7,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RW NA,NA Raquel Williams,NA,Raquel Williams,13,2,6.5,11,2,10,Wildcats,2018,227,32,5,7,0.15625,7.1,32.4,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RJ #22,#22 Regena Jackson,#22,Regena Jackson,102,9,11.3,73,3,5,Royalty,2018,417,11,4,3,0.36363636363636365,37.9,139,11.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RJ #22,#22 Regena Jackson,#22,Regena Jackson,230,9,25.6,68,1,6,Royalty,2018,647,20,5,4,0.25,32.4,161.8,25.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RJ #22,#22 Regena Jackson,#22,Regena Jackson,336,8,42,NA,5,7,Royalty,2018,983,28,10,5,0.35714285714285715,35.1,196.6,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RJ #22,#22 Regena Jackson,#22,Regena Jackson,250,13,19.2,58,7,9,Royalty,2018,1317,42,18,7,0.42857142857142855,31.4,188.1,19.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RJ #22,#22 Regena Jackson,#22,Regena Jackson,291,8,36.4,72,4,10,Royalty,2018,1608,50,22,8,0.44,32.2,201,36.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RA #1,#1 Ronnise Armstrong,#1,Ronnise Armstrong,42,16,2.6,8,1,1,Rebellion,2018,42,16,1,1,0.0625,2.6,42,2.6,#1,Ronnise Armstrong,8,1,8,8,0,4,8,1,0,0,8,8,8
