plyr.lbl,player,no.,name,pass_yards,comp,att,pct,avg,pass_td,int,long,rating,week,team,season,pass_yards_cum,comp_cum,att_cum,pass_td_cum,int_cum,game,pass_td_rate_cum,comp_cum_rate,int_rate_cum,pass_yards_att_cum,pass_avg_cum,pass_yards_cum_game,pass_td_int_cum,qb.part1,qb.part2,qb.part3,qb.part4,qb_rate_cum,no..rush,name.rush,rush_yards,carries,avg.rush,long.rush,rush_td,week.rush,rush_yards_cum,carries_cum,rush_td_cum,rush_td_rate_cum,rush_avg_cum,rush_yards_cum_game,rush_yards_car
JT #10,#10 Jennifer Trevillian,#10,Jennifer Trevillian,61,7,16,43.8,8.7,0,0,16,54.4,1,IO Phoenix,2019,61,7,16,0,0,1,0,44,0,3.8125,8.7,61,0,0.6875,0.203125,0,2.375,54.4,#10,Jennifer Trevillian,29,5,5.8,12,0,1,29,5,0,0,5.8,29,5.8
JT #10,#10 Jennifer Trevillian,#10,Jennifer Trevillian,47,6,12,50,7.8,1,2,22,48.3,2,IO Phoenix,2019,108,13,28,1,2,2,0.03571428571428571,46,0.07142857142857142,3.857142857142857,8.3,54,0.5,0.8214285714285716,0.2142857142857143,0.7142857142857143,0.5892857142857144,39,#10,Jennifer Trevillian,61,6,10.2,50,1,2,90,11,1,0.09090909090909091,8.2,45,10.2
JC #7,#7 Jessica Childers,#7,Jessica Childers,136,12,23,52.2,11.3,2,1,21,81.1,3,Fury,2019,136,12,23,2,1,1,0.08695652173913043,52,0.043478260869565216,5.913043478260869,11.3,136,2,1.1086956521739129,0.7282608695652173,1.7391304347826086,1.2880434782608696,81.1,#7,Jessica Childers,84,6,14,40,3,3,84,6,3,0.5,14,84,14
JG #12,#12 Jessica Gray,#12,Jessica Gray,126,5,11,45.5,25.2,0,0,22,87.7,1,Threat,2019,126,5,11,0,0,1,0,45,0,11.454545454545455,25.2,126,0,0.7727272727272727,2.1136363636363638,0,2.375,87.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JG #12,#12 Jessica Gray,#12,Jessica Gray,0,0,2,0,0,0,1,NA,0,2,Threat,2019,126,5,13,0,1,2,0,38,0.07692307692307693,9.692307692307692,25.2,63,0,0.42307692307692335,1.673076923076923,0,0.45192307692307687,42.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KP #16,#16 Kaili Purrington,#16,Kaili Purrington,0,1,11,9.1,0,0,2,NA,0,1,Diamondbacks,2019,0,1,11,0,2,1,0,9,0.18181818181818182,0,0,0,0,0,0,0,0,0,#16,Kaili Purrington,0,1,0,NA,0,1,0,1,0,0,0,0,0
KP #35,#35 Kaitlynn Perch,#35,Kaitlynn Perch,4,2,8,25,2,0,1,7,0,3,Outlaws,2019,4,2,8,0,1,1,0,25,0.125,0.5,2,4,0,0,0,0,0,0,#35,Kaitlynn Perch,18,3,6,13,0,3,18,3,0,0,6,18,6
KP #16,#16 Kara Prentice,#16,Kara Prentice,16,4,8,50,4,1,0,7,95.8,2,Passion,2019,16,4,8,1,0,1,0.125,50,0,2,4,16,0.125,1,0,2.375,2.375,95.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KW #9,#9 Kelly Washington,#9,Kelly Washington,135,7,23,30.4,19.3,3,1,NA,73.4,1,Dragons,2019,135,7,23,3,1,1,0.13043478260869565,30,0.043478260869565216,5.869565217391305,19.3,135,3,0.021739130434782795,0.7173913043478262,2.375,1.2880434782608696,73.4,#9,Kelly Washington,59,6,9.8,NA,0,1,59,6,0,0,9.8,59,9.8
KW #9,#9 Kelly Washington,#9,Kelly Washington,137,14,36,38.9,9.8,1,6,NA,20,3,Dragons,2019,272,21,59,4,7,2,0.06779661016949153,36,0.11864406779661017,4.610169491525424,13,136,0.5714285714285714,0.27966101694915263,0.40254237288135597,1.3559322033898304,0,34,#9,Kelly Washington,52,12,4.3,NA,0,3,111,18,0,0,6.2,55.5,4.3
KD #21,#21 Khala Downing,#21,Khala Downing,22,2,8,25,11,0,1,21,0,2,Dixie Blues,2019,22,2,8,0,1,1,0,25,0.125,2.75,11,22,0,0,0,0,0,0,#21,Khala Downing,10,7,1.4,7,0,2,10,7,0,0,1.4,10,1.4
KY #2,#2 Kim Yvette Shaw,#2,Kim Yvette Shaw,57,4,23,17.4,14.2,1,3,19,14.5,1,Inferno,2019,57,4,23,1,3,1,0.043478260869565216,17,0.13043478260869565,2.4782608695652173,14.2,57,0.3333333333333333,0,0,0.8695652173913043,0,14.5,#2,Kim Yvette Shaw,2,1,2,2,0,2,2,1,0,0,2,2,2
KY #2,#2 Kim Yvette Shaw,#2,Kim Yvette Shaw,116,8,20,40,14.5,0,1,35,38.8,2,Inferno,2019,173,12,43,1,4,2,0.023255813953488372,28,0.09302325581395349,4.023255813953488,14.4,86.5,0.25,0,0.2558139534883721,0.4651162790697675,0.049418604651162656,12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KY #2,#2 Kim Yvette Shaw,#2,Kim Yvette Shaw,139,5,9,55.6,27.8,2,0,56,140,3,Inferno,2019,312,17,52,3,4,3,0.057692307692307696,33,0.07692307692307693,6,18.4,104,0.75,0.13461538461538466,0.75,1.153846153846154,0.45192307692307687,41.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KS #27,#27 Kimberly Santistevan,#27,Kimberly Santistevan,0,0,6,0,0,0,0,NA,39.6,2,MH Blaze,2019,0,0,6,0,0,1,0,0,0,0,NaN,0,0,0,0,0,2.375,39.6,#27,Kimberly Santistevan,2,1,2,NA,0,2,2,1,0,0,2,2,2
LB NA,NA Lindsey Bruette,NA,Lindsey Bruette,105,5,12,41.7,21,1,1,56,66.3,1,Knockout,2019,105,5,12,1,1,1,0.08333333333333333,42,0.08333333333333333,8.75,21,105,1,0.5833333333333336,1.4375,1.6666666666666665,0.29166666666666696,66.3,NA,Lindsey Bruette,51,15,3.4,20,0,1,51,15,0,0,3.4,51,3.4
LS #3,#3 Liz Sowers,#3,Liz Sowers,72,3,20,15,24,1,1,55,37.9,1,Titans,2019,72,3,20,1,1,1,0.05,15,0.05,3.6,24,72,1,0,0.15000000000000002,1,1.125,37.9,#3,Liz Sowers,92,11,8.4,44,1,1,92,11,1,0.09090909090909091,8.4,92,8.4
LS #3,#3 Liz Sowers,#3,Liz Sowers,5,2,14,14.3,2.5,0,1,3,9.8,2,Titans,2019,77,5,34,1,2,2,0.029411764705882353,15,0.058823529411764705,2.264705882352941,15.4,38.5,0.5,0,0,0.5882352941176471,0.9044117647058825,24.9,#3,Liz Sowers,125,12,10.4,65,1,2,217,23,2,0.08695652173913043,9.4,108.5,10.4
MC #17,#17 Maggie Campbell,#17,Maggie Campbell,20,2,8,25,10,0,0,10,39.6,1,Thunderkatz,2019,20,2,8,0,0,1,0,25,0,2.5,10,20,0,0,0,0,2.375,39.6,#17,Maggie Campbell,5,3,1.7,NA,0,1,5,3,0,0,1.7,5,1.7
MC #17,#17 Maggie Campbell,#17,Maggie Campbell,125,7,16,43.8,17.9,4,1,75,84.6,2,Thunderkatz,2019,145,9,24,4,1,2,0.16666666666666666,38,0.041666666666666664,6.041666666666667,16.1,72.5,4,0.375,0.7604166666666667,2.375,1.3333333333333335,80.7,#17,Maggie Campbell,4,2,2,4,0,2,9,5,0,0,1.8,4.5,2
