plyr.lbl,player,no..rush,name.rush,rush_yards,carries,avg.rush,long.rush,rush_td,week.rush,team,season,rush_yards_cum,carries_cum,rush_td_cum,game,rush_td_rate_cum,rush_avg_cum,rush_yards_cum_game,rush_yards_car,no..rec,name.rec,rec_yards,rec,long.rec,avg.rec,rec_td,week.rec,rec_yards_cum,rec_cum,rec_td_cum,rec_td_rate_cum,rec_avg_cum,rec_yards_cum_game,rec_yards_rec
OQ #27,#27 Olivia Quarles,#27,Olivia Quarles,64,8,8,26,0,2,Spartans,2019,114,20,0,2,0,5.7,57,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PJ #33,#33 Pasha Johnson-Rivers,#33,Pasha Johnson-Rivers,25,7,3.6,NA,0,1,Comets,2019,25,7,0,1,0,3.6,25,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PJ #33,#33 Pasha Johnson-Rivers,#33,Pasha Johnson-Rivers,20,5,4,13,2,2,Comets,2019,45,12,2,2,0.16666666666666666,3.8,22.5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PB #9,#9 Paula Beaulieu,#9,Paula Beaulieu,76,17,4.5,NA,0,1,Mayhem,2019,76,17,0,1,0,4.5,76,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PB #9,#9 Paula Beaulieu,#9,Paula Beaulieu,131,29,4.5,21,1,3,Mayhem,2019,207,46,1,2,0.021739130434782608,4.5,103.5,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QS #22,#22 Quishawn Simmons,#22,Quishawn Simmons,14,11,1.3,NA,0,1,Threat,2019,14,11,0,1,0,1.3,14,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QS #22,#22 Quishawn Simmons,#22,Quishawn Simmons,16,5,3.2,7,0,2,Threat,2019,30,16,0,2,0,1.9,15,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QS #22,#22 Quishawn Simmons,#22,Quishawn Simmons,35,9,3.9,17,0,3,Threat,2019,65,25,0,3,0,2.6,21.7,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RW #8,#8 Raquel Williams,#8,Raquel Williams,7,11,0.6,13,0,1,Wildcats,2019,7,11,0,1,0,0.6,7,0.6,#8,Raquel Williams,30,3,15,10,0,3,30,3,0,0,10,30,10
RW #8,#8 Raquel Williams,#8,Raquel Williams,103,16,6.4,41,1,3,Wildcats,2019,110,27,1,2,0.037037037037037035,4.1,55,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
